1,abandonar,to abandon leave behind desert; to quit give up,Indicativo,Indicative,Presente,Present,I abandon am abandoning,abandono,abandonas,abandona,abandonamos,abandonáis,abandonan,abandonando,abandoning,abandonado,abandoned,1
2,abandonar,to abandon leave behind desert; to quit give up,Indicativo,Indicative,Futuro,Future,I will abandon,abandonaré,abandonarás,abandonará,abandonaremos,abandonaréis,abandonarán,abandonando,abandoning,abandonado,abandoned,2
3,abandonar,to abandon leave behind desert; to quit give up,Indicativo,Indicative,Imperfecto,Imperfect,I was abandoning used to abandon abandoned,abandonaba,abandonabas,abandonaba,abandonábamos,abandonabais,abandonaban,abandonando,abandoning,abandonado,abandoned,3
4,abandonar,to abandon leave behind desert; to quit give up,Indicativo,Indicative,Pretérito,Preterite,I abandoned,abandoné,abandonaste,abandonó,abandonamos,abandonasteis,abandonaron,abandonando,abandoning,abandonado,abandoned,4
5,abandonar,to abandon leave behind desert; to quit give up,Indicativo,Indicative,Condicional,Conditional,I would abandon,abandonaría,abandonarías,abandonaría,abandonaríamos,abandonaríais,abandonarían,abandonando,abandoning,abandonado,abandoned,5
6,abandonar,to abandon leave behind desert; to quit give up,Indicativo,Indicative,Presente perfecto,Present Perfect,I have abandoned,he abandonado,has abandonado,ha abandonado,hemos abandonado,habéis abandonado,han abandonado,abandonando,abandoning,abandonado,abandoned,6
7,abandonar,to abandon leave behind desert; to quit give up,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have abandoned,habré abandonado,habrás abandonado,habrá abandonado,habremos abandonado,habréis abandonado,habrán abandonado,abandonando,abandoning,abandonado,abandoned,7
8,abandonar,to abandon leave behind desert; to quit give up,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had abandoned,había abandonado,habías abandonado,había abandonado,habíamos abandonado,habíais abandonado,habían abandonado,abandonando,abandoning,abandonado,abandoned,8
9,abandonar,to abandon leave behind desert; to quit give up,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had abandoned,hube abandonado,hubiste abandonado,hubo abandonado,hubimos abandonado,hubisteis abandonado,hubieron abandonado,abandonando,abandoning,abandonado,abandoned,9
10,abandonar,to abandon leave behind desert; to quit give up,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have abandoned,habría abandonado,habrías abandonado,habría abandonado,habríamos abandonado,habríais abandonado,habrían abandonado,abandonando,abandoning,abandonado,abandoned,10
11,abandonar,to abandon leave behind desert; to quit give up,Subjuntivo,Subjunctive,Presente,Present,I abandon am abandoning,abandone,abandones,abandone,abandonemos,abandonéis,abandonen,abandonando,abandoning,abandonado,abandoned,11
12,abandonar,to abandon leave behind desert; to quit give up,Subjuntivo,Subjunctive,Imperfecto,Imperfect,I abandoned was abandoning,abandonara,abandonaras,abandonara,abandonáramos,abandonarais,abandonaran,abandonando,abandoning,abandonado,abandoned,12
13,abandonar,to abandon leave behind desert; to quit give up,Subjuntivo,Subjunctive,Futuro,Future,I will abandon,abandonare,abandonares,abandonare,abandonáremos,abandonareis,abandonaren,abandonando,abandoning,abandonado,abandoned,13
14,abandonar,to abandon leave behind desert; to quit give up,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,I have abandoned abandoned,haya abandonado,hayas abandonado,haya abandonado,hayamos abandonado,hayáis abandonado,hayan abandonado,abandonando,abandoning,abandonado,abandoned,14
15,abandonar,to abandon leave behind desert; to quit give up,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have abandoned,hubiere abandonado,hubieres abandonado,hubiere abandonado,hubiéremos abandonado,hubiereis abandonado,hubieren abandonado,abandonando,abandoning,abandonado,abandoned,15
16,abandonar,to abandon leave behind desert; to quit give up,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had abandoned,hubiera abandonado,hubieras abandonado,hubiera abandonado,hubiéramos abandonado,hubierais abandonado,hubieran abandonado,abandonando,abandoning,abandonado,abandoned,16
17,abandonar,to abandon leave behind desert; to quit give up,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Abandon! Don't abandon!,,abandona,abandonad,,abandone,abandonen,abandonando,abandoning,abandonado,abandoned,17
18,abandonar,to abandon leave behind desert; to quit give up,Imperativo Negativo,Imperative Negative,Presente,Present,Abandon! Don't abandon!,,no abandones,no abandonéis,,no abandone,no abandonen,abandonando,abandoning,abandonado,abandoned,18
19,abordar,to board get on [plane bus etc.]; to approach accost [a person],Indicativo,Indicative,Presente,Present,I board am boarding,abordo,abordas,aborda,abordamos,abordáis,abordan,abordando,boarding,abordado,boarded,19
20,abordar,to board get on [plane bus etc.]; to approach accost [a person],Indicativo,Indicative,Futuro,Future,I will board,abordaré,abordarás,abordará,abordaremos,abordaréis,abordarán,abordando,boarding,abordado,boarded,20
